Mass,Oxygen,Noise
22.7,89.2,ambient
34.6,141.1,ambient
36,140.1,ambient
40.1,204.9,ambient
47.5,129.1,ambient
49.6,154.6,ambient
50.7,141.8,ambient
54.4,204.7,ambient
57.4,168.2,ambient
59.7,169.1,ambient
60.5,168.2,ambient
61.3,181.9,ambient
67.9,194.6,ambient
68.5,157.2,ambient
84.9,208.1,ambient
84.9,171.6,ambient
56,243,ambient
25.3,113.8,ship
29.2,125.6,ship
32,213.9,ship
39.4,252.1,ship
41.9,202.1,ship
43.8,191.1,ship
50.8,215.7,ship
53.6,242.1,ship
53,254.9,ship
55.3,279.4,ship
59.8,328.6,ship
63.6,304.9,ship
62.3,280.3,ship
57.3,242.1,ship
58.8,205.7,ship
72.7,293.1,ship
74.5,270.3,ship
